2P2IDB_ID;Family;UniProt;Class;Target;Partner;SuperFamily;SuperFamily_ID;Target_ID;Source;ExpData;PDBProtProt;InstanceID;PDBProtLig;Ligand;ChainID;ResidueNumber;Atoms;HeavyAtoms;MissingHeavyAtoms;MolecularWeight;ObservedFormula;Formula;Type;Covalent;Deposition_Date;Modified_Date;2P2IDB_Date;Name;SystematicName;InChI;InChIKey;SMILES;SDF
10101-0021;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;8HOI_98I;8HOI;98I;A;301;122;63;0;890.100;C49 N7 O7 S;C49 H59 N7 O7 S;non-polymer;na;2022-12-10;2024-05-15;2024-09-20;ZQTKOYMWCCSKON-XKXNWSITSA-N;c1cc(c(cc1N1CC[C@]2(CC1)C[C@H](C2)N1CCC[C@H]1c1c(cccc1)C(C)C)Oc1cc2c(nc1)[nH]cc2)C(=O)NS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])NC[C@@H]1CC[C@@](CC1)(C)O;8HOI_98I_A_301
10101-0022;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;8HTR_MWH;8HTR;MWH;A;301;94;55;0;807.313;C42 Cl N6 O7 S;C42 H39 Cl N6 O7 S;non-polymer;na;2022-12-21;2024-06-05;2024-12-04;SMXXGDKPPGHBSW-LHEWISCISA-N;[N+](=O)(c1c(ccc(c1)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cnc2c(cc[nH]2)c1)c1ccc(cc1)N1CCC[C@H]1c1ccccc1Cl)NCC1CCOCC1)[O-];8HTR_MWH_A_301
10101-0023;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;8HTS_N2L;8HTS;N2L;A;301;114;61;0;860.031;C47 N7 O7 S;C47 H53 N7 O7 S;non-polymer;na;2022-12-21;2024-06-05;2024-12-04;IVXFXSGHRVGVIZ-WBCKFURZSA-N;[N+](=O)(c1c(ccc(c1)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cnc2c(cc[nH]2)c1)N1CCC2(CC1)CC(C2)N1CCC[C@H]1c1ccccc1C1CC1)NCC1CCOCC1)[O-];8HTS_N2L_A_301
10101-0024;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;8VWZ_F3Q;8VWZ;F3Q;A;301;95;53;0;710.817;C43 N4 O6;C43 H42 N4 O6;non-polymer;na;2024-02-02;2025-03-05;2025-03-05;VYXJULKGMXJVGI-XIFFEERXSA-N;C1CCCn2c1c(cc2c1cc2c(OCO2)cc1C(=O)N1[C@@H](Cc2c(C1)cccc2)CN1CCOCC1)C(=O)N(c1ccc(cc1)O)c1ccccc1;8VWZ_F3Q_A_301
10101-0025;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;8VXM_F3Q;8VXM;F3Q;A;301;95;53;0;710.817;C43 N4 O6;C43 H42 N4 O6;non-polymer;na;2024-02-05;2025-03-05;2025-03-05;VYXJULKGMXJVGI-XIFFEERXSA-N;C1CCCn2c1c(cc2c1cc2c(OCO2)cc1C(=O)N1[C@@H](Cc2c(C1)cccc2)CN1CCOCC1)C(=O)N(c1ccc(cc1)O)c1ccccc1;8VXM_F3Q_A_301
10102-0001;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;SOLUTION NMR;5FMK;1YSG_4FC;1YSG;4FC;A;1000;24;15;0;216.208;C13 F O2;C13 H9 F O2;non-polymer;na;2005-02-08;2022-03-02;2022-05-01;LXWNTLBMNCXRQN-UHFFFAOYSA-N;c1c(ccc(c1)c1ccc(cc1)C(=O)O)F;1YSG_4FC_A_1000
10102-0002;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;SOLUTION NMR;5FMK;1YSG_TN1;1YSG;TN1;A;1001;22;10;0;148.202;C10 O;C10 H12 O;non-polymer;na;2005-02-08;2022-03-02;2022-05-01;SCWNNOCLLOHZIG-UHFFFAOYSA-N;c12c(cccc1CCCC2)O;1YSG_TN1_A_1001
10102-0003;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;SOLUTION NMR;5FMK;1YSI_N3B;1YSI;N3B;A;1000;59;37;0;551.609;C27 F N3 O5 S2;C27 H22 F N3 O5 S2;non-polymer;na;2005-02-08;2022-03-02;2022-05-01;SWGIDRBGIJDBQO-UHFFFAOYSA-N;c1c(ccc(c1)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NCCSc1ccccc1)[N+](=O)[O-])F;1YSI_N3B_A_1000
10102-0004;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;SOLUTION NMR;5FMK;1YSN_43B;1YSN;43B;A;1000;78;48;0;694.842;C36 N4 O5 S3;C36 H30 N4 O5 S3;non-polymer;na;2005-02-08;2022-03-02;2022-05-01;KYLSTDPZEIQYFX-UHFFFAOYSA-N;C(Cc1sc2c(n1)cc(cc2)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NCCSc1ccccc1)[N+](=O)[O-])c1ccccc1;1YSN_43B_A_1000
10102-0005;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;SOLUTION NMR;5FMK;2O1Y_43B;2O1Y;43B;A;1000;78;48;0;694.842;C36 N4 O5 S3;C36 H30 N4 O5 S3;non-polymer;na;2006-11-29;2022-03-16;2022-05-01;KYLSTDPZEIQYFX-UHFFFAOYSA-N;C(Cc1sc2c(n1)cc(cc2)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NCCSc1ccccc1)[N+](=O)[O-])c1ccccc1;2O1Y_43B_A_1000
